acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.07,-0.53,-9.39,1.79,-2.13,-0.26,FALL
-4.7,-2.12,-14.46,2.84,-2.01,-0.18,FALL
-5.91,-1.92,-15.14,2.74,-1.27,-0.19,FALL
-5.27,-1.66,-11.58,1.29,-2.28,-0.13,FALL
-6.31,-4.4,-10.03,1.12,-0.48,0.87,FALL
-2.32,-5.2,-5.38,0.57,-0.15,1.09,FALL
-1.09,-3.82,-4.88,1.05,-0.24,0.89,FALL
-6.99,-1.53,-4.74,1.51,-0.49,0.12,FALL
-6.3,-2.26,-7.04,0.81,-0.47,1.59,FALL
-4.85,-4.15,-5.01,0.99,1.39,0.95,FALL
-7.71,-5.07,-4.14,0.09,0.27,0.94,FALL
-8.83,-6.84,-1.73,0.83,-0.51,0.65,FALL
-7.44,-8.23,-1.49,1.67,-0.18,0.55,FALL
-4.45,-9.47,-4.19,2.18,0.01,-0.13,FALL
-6,-7.22,-3.34,2.81,0.31,-0.83,FALL
-6.79,-13.05,-9.04,3.66,0.72,-1.22,FALL
-11.54,-11.5,-5.46,2.6,-0.01,-1.28,FALL
-10.02,-9.19,-5.93,2.3,1.45,-1.38,FALL
-8.86,-6.41,-4.58,1.56,1.54,-0.86,FALL
-8.62,-4.59,-2.47,0.44,-0.66,-0.68,FALL
-6.79,-2.57,-0.79,0.26,-0.55,-0.36,FALL
-5.22,-2.94,-0.64,0,0.19,0.12,FALL
-3.89,-3.4,-0.51,-0.14,0.4,0.11,FALL
-3.67,-4.15,-2.89,-0.24,-0.17,0.22,FALL
-5.2,-6.6,-1.63,-0.26,0.44,0.06,FALL
-6.37,-9.44,-3.3,-0.26,-0.11,0.11,FALL
-8.73,-8.29,-1.62,-0.35,0.11,0.15,FALL
-8.29,-8.37,-1.36,-0.26,0.01,1.05,FALL
-7.13,-9.52,-0.73,0.44,0.79,0.81,FALL
-7.5,-7.57,-2.53,0.26,1.03,0.93,FALL
-5.13,-6,-1.31,-0.32,0.43,0.94,FALL
-6.1,-5.05,-1.29,-0.48,-0.14,0.63,FALL
-7.61,-4.93,-0.58,-0.55,-0.07,0.39,FALL
-7.91,-4.94,-0.29,-0.54,-0.19,0.5,FALL
-8.88,-5.21,0.09,-0.19,-0.16,0.56,FALL
-8.01,-5.78,-1.19,-0.12,0.01,0.48,FALL
-7.87,-6.85,-0.36,0.04,-0.06,0.44,FALL
-7.3,-6.41,-1.27,0.23,0.48,-0.08,FALL
-8.24,-6.07,-1.86,0.18,0.08,0.12,FALL
-7,-5.84,-1.54,-0.16,-0.07,0.02,FALL
-7.98,-5.45,-1.3,-0.19,-0.58,0.18,FALL
-7.5,-5.33,-1.54,-0.21,-0.11,0.34,FALL
-7.85,-5.39,-0.7,-0.21,-0.07,0.38,FALL
-7.93,-5.08,-1.02,-0.12,0,0.41,FALL
-2.52,-9.57,-0.09,-0.05,-1.16,0.27,FALL
-2.64,-8.68,-0.51,0.1,-1.2,0.38,FALL
-2.61,-9.22,-1.16,0.19,-0.81,0.33,FALL
-2.5,-8.39,-1,-0.06,-0.76,0.32,FALL
-3.62,-9.58,-0.19,-0.19,-0.89,0.36,FALL
-4.22,-9.96,-1.01,-0.65,-1.36,-0.14,FALL
-8.29,-5.55,2.89,-1.45,-1.14,0.33,FALL
-22.62,-8.19,16.87,-1.16,-0.6,1.58,FALL
-23.96,-21.73,13.09,3.4,-1.3,4.97,FALL
-22.62,-25.6,10.39,4.45,1.12,7.42,FALL
-11.89,-24.24,-1.61,4.98,0.42,7.93,FALL
-2.98,-15.75,-0.79,2.51,-0.07,7.94,FALL
2.48,-8.55,-9.56,2.51,-2.27,6.71,FALL
2.7,-6.36,-3.55,0.99,0.49,4.82,FALL
3.89,-2.84,-3.16,1.64,-1.13,3.87,FALL
3.08,1.82,-1.25,1.22,1.66,0.99,FALL
2.77,1.55,-2.4,2.11,2.99,-1.07,FALL
0.04,2.19,-4.36,1.3,2.93,-2.82,FALL
1.14,0.87,-3.47,-0.11,2.55,-2.49,FALL
-3.02,3.77,-3.52,-0.83,3.9,-3.19,FALL
-11.57,0.18,7.58,1.07,4.49,-3.74,FALL
-12.79,1.91,-11.66,2.71,4.65,-3.15,FALL
-16.48,1.79,-14.73,1.98,1.43,-1.17,FALL
-12.03,3.58,-13.62,1.37,1.06,-1.54,FALL
-0.94,2.44,-9.27,2.87,0.43,-1.48,FALL
-43.83,3.71,-38.01,2.39,2.86,-4.86,FALL
-3.12,-8.74,-1.74,-4.52,-3.37,2.28,FALL
-3.19,1.22,-5.52,3.02,3.95,-0.7,FALL
-7.18,1.76,-13.86,-0.43,1.41,-0.1,FALL
-1.21,0.08,-10.88,-0.57,-0.28,0.03,FALL
-5.75,1.31,-6.61,-0.48,-0.43,-0.05,FALL
-3.58,1.98,-9.75,0.11,0.22,0.15,FALL
-3.62,1.32,-9.78,-0.11,-0.11,0.02,FALL
-4.23,0.93,-9.1,-0.19,-0.17,-0.13,FALL
-4.9,0.79,-8.72,-0.33,-0.1,-0.26,FALL
-6.94,-2.97,-8.92,0.34,0,-0.12,FALL
-6.24,-8.94,-6.99,0.46,0.3,0.42,FALL
-1.19,-13.45,-12.32,1.86,1.45,-0.3,FALL
-4.15,-9.31,-9.92,-0.32,-0.3,-0.17,FALL
-2.35,-6.52,-4.88,-0.09,-0.04,-0.89,FALL
-6.98,-3.61,-8.88,1.68,0.18,-1.49,FALL
-6.89,-1.7,-12.61,1.9,-0.52,-1.7,FALL
-7.59,-2.83,-12.44,2.01,-1.71,-1.27,FALL
-14.27,-1.78,-10.52,0.27,-3.63,-1.3,FALL
-9.6,-2.43,-6.81,1.03,-0.97,0.31,FALL
-6.7,-1.93,-8.57,1.38,-0.14,0.88,FALL
-3.87,-2.25,-8.47,0.83,-0.64,1.25,FALL
-4.23,-2.15,-7.4,0.61,-0.52,0.87,FALL
-3.25,-4.14,-4.78,0.16,-0.92,0.99,FALL
-3.44,-6.97,-3.53,1.33,-0.73,0.02,FALL
-4.63,-8.93,-5.31,1.37,-1.73,-1.23,FALL
-6.25,-11.39,-5.01,1.61,-3.58,-2.48,FALL
-3.25,-10.47,-0.49,0.26,-0.08,0,FALL
-3.53,-9.73,-0.02,0.13,0.15,-0.14,FALL
-5.28,-4.07,-1.88,-0.51,0.73,-0.38,FALL
-7.2,-3.99,3.54,-0.38,-0.34,-0.2,FALL
-28.32,-0.4,7.58,-1.35,-1.07,1.3,FALL
-30.83,-15.88,6.79,2.55,-1.41,4.71,FALL
-31.48,-29.6,17.69,2.77,1.84,8.73,FALL
-20.11,-32.09,3.2,4.01,0.6,8.73,FALL
-1.4,-18.27,-4.66,1.84,-0.26,8.42,FALL
-1.11,-9.99,-5.02,1,-1.46,7.69,FALL
4.3,-10.24,-1.02,1.14,-0.36,5.19,FALL
2.16,-6.96,-6.08,3.07,0.11,4.76,FALL
10.02,-4.81,-8.43,2.13,2.1,1.28,FALL
0.95,-7.82,-2.36,1.94,4.73,-2.66,FALL
1.71,-5.75,-7.94,0.5,3.89,-4.47,FALL
-7.03,2.62,-1.86,-0.26,7.34,-5.58,FALL
-22.09,5.05,6.7,2.28,3.43,-4.74,FALL
-19.85,5.46,-14.1,3.37,3.83,-3.38,FALL
-15.68,1.44,-16.91,3.34,0.67,-0.96,FALL
-3.75,7.01,-18.55,2.71,1.02,-0.2,FALL
-15.94,-1.25,-28.63,4.25,-0.8,-3.16,FALL
-6.95,-11.68,-8.03,-1.16,0.13,-0.47,FALL
-0.35,3.33,-8.62,-0.19,0.11,-0.65,FALL
-5.6,-1,-6.98,1.43,-0.55,-1.26,FALL
-5.24,-3.81,-11.49,-0.21,0.2,0.27,FALL
-1.86,0.21,-8.23,-0.94,-0.3,-0.45,FALL
-4.72,-1.03,-10.07,-0.1,0.33,-0.49,FALL
-1.75,-1.74,-10.58,-0.03,-0.23,0.39,FALL
-5.05,-0.39,-8.36,-0.4,-0.18,0.07,FALL
-2.91,-1.57,-10.86,-0.59,-0.53,0.05,FALL
-2.9,-0.04,-9.45,-0.86,-0.5,0.37,FALL
-5.18,0.96,-9.43,-0.93,-0.5,-0.15,FALL
-5.34,-0.4,-8.39,-0.69,-0.15,-0.19,FALL
-2.26,0.9,-9.95,-0.95,-0.06,-0.34,FALL
-8.51,-1.27,-5.34,-0.42,0.33,-0.5,FALL
-9.89,-7.85,-6.23,1.36,-0.03,0.28,FALL
0.32,-15.5,-13.7,2.22,-0.95,-0.38,FALL
-5.01,-10.77,-7.95,-0.63,-1.78,-1.23,FALL
-2.09,-7.8,-8.81,-0.11,-0.58,-1.51,FALL
-8.19,-4.81,-7.49,-0.39,-1.27,-1.86,FALL
-6.43,-3.8,-6.71,0.3,0.53,-2.09,FALL
-6.58,-3.11,-7.73,1.59,0.61,-1.73,FALL
-9.5,-2.14,-8.46,0.92,-0.45,-1.33,FALL
-11.46,-2.89,-8.97,1.14,-0.47,-1.1,FALL
-9.83,-1.9,-8.37,1.11,-0.3,-0.3,FALL
4.08,-2.55,-4.02,1.21,-2.19,-0.21,FALL
-0.06,-6.41,0.44,-1.09,8.73,-1.93,FALL
-15.7,-4.47,9.98,-1.32,8.73,-5.9,FALL
-20.59,-8.13,-22.29,3.47,3.88,0,FALL
-22.34,-2.54,-20.48,-1.79,3.98,-0.12,FALL
-6.56,12.24,-6.87,-0.48,0.36,-0.13,FALL
-37.6,11.22,-53.98,2.78,-8.73,5.5,FALL
0.13,9.04,15,0.12,0.09,-5.75,FALL
-2.09,1.83,-12.69,2.95,3.14,3.29,FALL
-6.21,-2.11,-5.8,-0.8,2.13,-0.92,FALL
0.54,1.04,-13.38,0.72,0.84,-0.92,FALL
-5.17,3.87,-9.66,-0.08,-0.33,0.05,FALL
-3.89,-0.94,3.92,1.23,-3.73,4.71,FALL
-1.04,-2.37,2.59,0.78,-2.84,2.15,FALL
2.6,-7.05,-0.01,2.81,-0.75,1.18,FALL
2.38,2.83,6.87,-1.03,4.41,0.29,FALL
-7.74,3.44,6.02,-0.89,4.13,-4.04,FALL
-18.09,6.49,6.29,1.79,-2.29,-0.77,FALL
-0.96,1.02,-0.39,2.05,-0.93,0.2,FALL
-11.56,-10.48,23.15,-3.67,-3.02,-1.91,FALL
-8.75,-4.02,18.69,-0.35,0.98,-0.63,FALL
-0.22,-3.06,7.08,-0.92,-3.66,-0.57,FALL
-4.29,3.07,6.31,0.63,1.33,-0.22,FALL
-10.73,0.46,7.7,0.13,-1.05,0.22,FALL
-3.62,0.35,5.65,0.75,-1.6,0.46,FALL
-4.57,3.23,8.49,0.1,-0.22,0.07,FALL
-2.95,-5.81,3.95,0.29,0.73,-0.21,FALL
-3.99,-6.08,3.87,0.61,0.33,-0.23,FALL
-3.75,-6.4,4.33,0.68,0.91,-0.19,FALL
-6.96,-5.16,5.98,0.74,0.94,0.25,FALL
-3.14,-6.22,5.63,0.95,0.77,0.57,FALL
-7.87,-6.82,7.36,1,1.55,0.33,FALL
-9.61,-11,4,0.94,1.65,-0.19,FALL
-12.56,-11.81,5.97,0.85,2.08,1.44,FALL
-9.56,-19.67,1.25,4.18,-2.97,2.8,FALL
-5.77,-16.46,4.63,6.51,-0.36,3.96,FALL
12.94,-11.4,4.19,2.87,8.01,2.64,FALL
5.63,-3.32,-12.58,4.85,3.81,0.13,FALL
-13.49,25.1,-10.41,-3.68,4.6,-0.67,FALL
-13.02,21.59,7.81,-8.6,-2.52,1.04,FALL
-12.34,8.43,-7.14,3.32,3.56,0.25,FALL
-11.45,2,-0.18,-0.22,1.37,3.02,FALL
-0.39,0.18,2.51,-0.45,3.8,4.17,FALL
4.99,2.12,6.38,-0.01,6.74,1.68,FALL
5.71,4.52,3.8,3.61,2.28,-0.73,FALL
3.45,5.51,2.87,3.97,-1.46,-1.75,FALL
-53.05,11.45,-70.31,8.73,-4.11,-5.73,FALL
-3.53,-15.34,-8.66,1.1,-0.17,-0.64,FALL
-1.16,0.06,-2.97,-5.45,-0.62,2.08,FALL
5.56,6.4,12.62,-1.19,-2.56,2.76,FALL
-9.14,0.52,-11.35,1.67,-2.09,-3.85,FALL
-10.44,0.15,-9.62,0.5,1.48,0.13,FALL
-3.51,1,-7.01,-0.64,-1.18,-0.08,FALL
-7.33,2.76,-7.3,-0.14,-0.21,-0.49,FALL
-6.47,2.26,-6.21,-0.05,-0.32,-0.27,FALL
-7.46,1.41,-6.96,0.04,-0.27,-0.27,FALL
-5.67,2.56,-7.19,-0.23,-0.6,0.01,FALL
-5.82,2.21,-6.78,-0.76,-1.06,-0.61,FALL
-8.07,1.45,-5.3,-0.83,-1.29,-0.58,FALL
-7,2.35,-5.41,-0.75,-1.49,-0.73,FALL
-10.51,0.74,-4.37,-0.88,-1.57,-0.81,FALL
-22.51,5.05,-9.67,-1.15,0.62,1.42,FALL
-3.1,4.72,-0.16,-1.36,-1.2,1.27,FALL
6.35,-0.91,2.8,1.54,-2.94,-1.13,FALL
-31.42,-3.31,-6.45,1.12,-0.19,-1.7,FALL
-4.55,0.21,-2.04,-0.38,-0.22,1.94,FALL
-10.18,3.86,-1.64,0.05,0.85,-0.14,FALL
-8.37,1.93,-3.94,0.26,-0.19,0.18,LYI
-8.98,2.4,-3.05,-0.08,-0.48,-0.16,LYI
-8.88,2.34,-2.23,-0.22,-0.33,-0.07,LYI
-9.42,2.08,-1.79,-0.16,-0.24,-0.13,LYI
-9.25,2.16,-1.62,-0.11,0.14,-0.03,LYI
-9.14,2.04,-2.38,-0.06,0.1,-0.03,LYI
-9.02,2.12,-2.28,-0.13,-0.1,0.01,LYI
-9.11,2.14,-2.01,-0.12,-0.14,-0.03,LYI
-9.13,2.15,-1.8,-0.11,-0.05,-0.02,LYI
-9.19,2.1,-1.98,-0.08,0.01,-0.02,LYI
-9.12,2.09,-2.05,-0.07,0.01,-0.02,LYI
-9.07,2.13,-2.05,-0.09,-0.03,-0.02,LYI
-9.18,2.1,-2.02,-0.1,-0.04,-0.01,LYI
-9.13,2.1,-1.94,-0.09,-0.04,-0.02,LYI
-9.17,2.08,-2,-0.09,0.02,-0.03,LYI
-9.11,2.09,-1.99,-0.1,-0.01,-0.01,LYI
-9.12,2.08,-1.96,-0.08,-0.03,-0.02,LYI
-9.11,2.1,-1.98,-0.09,-0.01,-0.02,LYI
-9.17,2.07,-1.96,-0.08,-0.01,-0.02,LYI
-5.72,-6.61,2.34,0.16,-1.34,-0.18,FALL
-9.31,-6.64,1.53,-0.39,-0.95,0.38,FALL
-9.8,-6.8,1.82,-0.08,-0.38,1.31,FALL
-14.89,-7.37,2.97,-0.95,-0.82,2.56,FALL
-18.4,-8.82,1.87,-1.5,-0.38,3.92,FALL
-19.31,-8.19,8.02,-0.33,-1.94,5.51,FALL
-18.77,-10.33,-3.19,1.62,0.42,4.86,FALL
-10.34,-9.66,-7.14,1.66,-2.95,5.34,FALL
-5.47,-7.35,-7.25,2.31,-2.06,4.49,FALL
-1.28,-3.81,-11.63,1.09,0.14,3.41,FALL
1.46,-5.07,-13.69,1.26,1.54,2.66,FALL
-2.46,-5.91,-9.13,-1.37,-2.2,2.8,FALL
-0.85,-6.29,-0.63,-1.74,-2.51,1.3,FALL
9.6,-15.88,-2.01,0.1,5.91,1.11,FALL
-10.69,-5.85,18.83,-1.64,-3.04,-2.67,FALL
-15.75,-9.6,38.92,-0.8,0.02,-6.38,FALL
-18.17,0.25,20.89,-4.79,1.97,-1.98,FALL
-9.37,33.76,24.5,0.83,4.07,-1.69,FALL
-30.62,-3.24,-9.03,0.67,-1.68,-0.43,FALL
-7.52,5.15,10.23,-0.69,-0.74,-0.55,FALL
-10.14,3.53,3.01,0.46,-2.78,-0.33,FALL
-0.55,2.5,11.59,0.28,-1.48,0.01,FALL
-9.17,3.47,2.45,0.21,-0.95,0,FALL
1.04,4.36,1.96,0.31,0.01,0.21,FALL
-11.62,2.77,12.98,-0.23,2.74,-1.06,FALL
-6.7,3.76,12.96,0.21,-1.85,0.89,FALL
-3.21,6.85,5.43,-0.31,-0.01,-0.27,FALL
-7.3,3.15,4.89,-0.48,-1.13,0.05,LYI
-4.41,3.45,7.03,-0.13,-0.31,0.05,LYI
-5.95,4.05,6.4,-0.2,0.33,-0.03,LYI
-5.58,3.73,6.62,-0.07,-0.57,0.22,LYI
-4.5,3.96,7.52,-0.05,-0.19,-0.01,LYI
-5.21,4.01,6.54,-0.06,0.05,-0.07,LYI
-5.29,3.96,6.79,-0.08,0,-0.02,LYI
-5.44,3.9,6.94,-0.12,0,-0.02,LYI
-5.32,3.83,6.99,-0.03,-0.27,0.03,LYI
-4.87,4.12,6.81,-0.01,-0.2,0.06,LYI
-4.99,4.14,6.96,-0.05,-0.19,0.02,LYI
-4.67,4.11,6.99,-0.07,0.01,-0.02,LYI
-5.18,4.19,7.11,-0.06,-0.12,-0.01,LYI
-4.67,4.2,7.24,-0.06,-0.07,0,LYI
-5.25,4.07,7.33,-0.05,-0.15,0.02,LYI
-4.67,4.23,6.89,-0.06,-0.08,0,LYI
-4.71,4.16,7.34,-0.02,-0.2,0.05,LYI
-4.79,4.29,6.99,-0.05,-0.08,0.01,LYI
-4.46,4.23,7.24,-0.05,-0.14,0.04,LYI
-4.83,4.33,7.16,-0.07,-0.05,0,LYI
-4.46,4.24,7.31,-0.04,-0.19,0.04,LYI
-4.48,4.38,7.24,-0.06,-0.11,0.01,LYI
-4.32,4.33,7.19,-0.09,0.01,-0.02,LYI
-4.51,4.3,7.31,-0.09,-0.02,-0.01,LYI
-4.67,-1.32,2.16,-0.05,1.08,-0.39,JOG
-3.39,-2.53,1.31,0.25,0.99,-0.31,JOG
-0.75,-1.76,1.91,0.01,-0.1,0.06,JOG
-6.72,1.16,3.03,0.2,-0.19,-0.3,JOG
-14.98,7.96,1.49,0.91,-0.94,-1.22,JOG
-19.91,10.9,-0.95,0.73,-0.81,-0.75,JOG
-12.95,9.26,-2.3,0.78,-0.29,-0.33,JOG
-3.59,7.72,-3.08,0.48,0.28,-0.03,JOG
-2.2,5.5,-4.04,0.16,0.61,0.58,JOG
-0.96,4.97,-2.66,-0.56,1.38,1.4,JOG
-5.64,7.65,-4.1,-1.07,2.03,2.21,JOG
-20.54,13.57,-7.86,-1.46,0.36,1.83,JOG
-18.8,7.01,-0.57,-1.84,0.57,2.08,JOG
-2.53,0.38,0.62,-0.12,1.96,0.6,JOG
-1.75,-3.67,0.54,0.08,0.34,-0.68,JOG
-1.79,-5.12,2.23,-0.37,-0.7,-0.43,JOG
0.61,-3.23,3.54,0.51,-0.77,-0.9,JOG
-9.88,4.33,0.76,1.11,-1.19,-1.63,JOG
-26.27,12.55,-1.82,1.37,-1.99,-2.08,JOG
-16.77,11.53,-4.86,2.18,0.11,-1.18,JOG
-5.89,8.49,-7.32,1.02,0.15,-0.32,JOG
-0.38,6.19,-4.05,-0.16,-1.05,0.01,JOG
-1.81,5.19,-3.71,-0.57,1.23,0.76,JOG
-5.06,6.69,-6.3,-1,1.83,1.77,JOG
-17.71,15.05,-9.74,-1.64,1.1,1.69,JOG
-20.38,9.34,-5.41,-2.45,0.78,2.47,JOG
-5.88,3.68,1.26,-1.14,1.68,1.15,JOG
-1.48,-1.85,1.79,-0.06,0.93,-0.55,JOG
-2.18,-5.79,1.87,0.18,-0.2,-0.57,JOG
1.41,-4.89,3.7,0.51,-0.46,-0.8,JOG
-6.02,-0.48,1.39,1.16,-1.14,-1.64,JOG
-23.13,9.39,-3.38,1.68,-3.62,-2.8,JOG
-23.36,12.95,-4.76,2.05,-0.1,-1.41,JOG
-10.27,9.35,-7.65,1.85,-0.31,-0.59,JOG
-0.38,7.33,-5.8,0.55,-0.78,-0.21,JOG
-0.87,4.68,-6.65,-0.08,0.21,-0.07,JOG
-1.78,4.82,-4.44,-1.31,0.81,0.91,JOG
-4.21,9.7,-5.84,-1.45,2.35,1.42,JOG
-27.66,13.72,-13.45,-2.06,-0.52,1.76,JOG
-17.92,7.97,-3.68,-1.67,1.82,2.11,JOG
-4.66,1.34,-0.4,-0.8,2.16,0.93,JOG
-2.05,-3.78,1,-0.56,0.47,-0.03,JOG
-0.35,-5.62,3.47,-0.47,-0.57,0.02,JOG
1.88,-4.6,4.43,0.53,-0.39,-0.74,JOG
-5.1,1.21,1.58,1.01,-1.68,-1.77,JOG
-29.5,11.1,-4.73,1.6,-2.71,-2.26,JOG
-18.01,13.31,-5.26,2.3,-0.37,-1.59,JOG
-8.73,9.17,-8.73,1.47,0.22,-0.36,JOG
0.74,7.21,-5.79,0.16,-0.91,0.03,JOG
-2.33,4.63,-4.76,-0.48,0.73,0.64,JOG
-3.45,5.47,-6.54,-0.94,1.54,1.46,JOG
-13.97,14.4,-10.06,-1.7,1.14,1.39,JOG
-18.71,9.71,-8.3,-2.38,0.8,2.11,JOG
-9.28,4.56,-2.15,-1.73,0.83,1.14,JOG
-2.08,0.13,1.87,-0.65,0.95,-0.06,JOG
-2.2,-5.21,0.15,0.1,0.26,-0.5,JOG
1.42,-5.79,2.65,-0.18,0.06,-0.35,JOG
-3.15,-2.29,1.85,0.26,-1.23,-1.49,JOG
-18.31,8.27,-0.12,1.07,-3.58,-2.83,JOG
-23.89,12.57,-0.98,1.57,-0.66,-2.24,JOG
-14.48,10.26,-6.53,2.26,0.05,-1.41,JOG
-2.15,8.94,-6.13,0.86,-0.46,-0.65,JOG
-2.88,6.48,-6.86,0.06,0.08,0.03,JOG
-1.42,5.69,-4.91,-0.63,1.19,1.17,JOG
-6.6,7.71,-6.43,-1.19,2.47,1.9,JOG
-17.24,11.75,-12.66,-2.05,0.87,2.27,JOG
-16.74,9.05,-3.98,-2.49,0.46,2.26,JOG
-6.75,2.51,-0.46,-0.34,1.89,0.62,JOG
-1.55,-1.57,-0.79,-0.28,1.07,-0.31,JOG
-3.1,-3.85,1.37,-0.35,-0.89,-0.43,JOG
-1.91,-1.89,2.09,0.27,-0.27,-0.57,JOG
-6.18,3.81,-1.23,0.64,-1.07,-0.93,JOG
-18.24,11.71,-4.46,1.1,-2.54,-1.54,JOG
-15.3,12.22,-4.78,1.76,-0.75,-1.43,JOG
-7.52,8.89,-6,1.47,0.09,-0.5,JOG
-0.64,7.17,-3.96,0.93,-0.48,-0.25,JOG
-3.06,5.58,-6.76,-0.18,0.96,0.52,JOG
-2.43,5.9,-6.53,-0.63,0.87,1.3,JOG
-8.34,12.47,-9.72,-1.28,2.04,1.25,JOG
-13.39,9.87,-9.54,-2.24,1.4,2.07,JOG
-9.35,5.98,-3.11,-1.64,0.31,0.6,JOG
-4.78,2.08,-0.71,-0.55,1.52,-0.35,JOG
-2.72,-1.6,0.44,-0.09,0.01,-0.71,JOG
-3.06,-3.02,1.05,-0.11,0.2,-0.23,JOG
-2.27,-0.99,0.65,0.17,-1.04,-0.54,JOG
-11.86,8.15,-0.17,0.64,-2.22,-1.7,JOG
-16.86,12.9,-5.96,1.77,-0.75,-1.44,JOG
-15.01,11.17,-8.81,1.52,-1.48,-1.06,JOG
-2.89,10.01,-4.85,0.47,0.23,0.12,JOG
-0.68,6.4,-4.5,0.55,-0.21,0.29,JOG
-1.36,5.07,-5.12,-0.57,1.24,1.3,JOG
-4.87,6.95,-6.61,-1.22,1.62,1.9,JOG
-13,13.01,-9.89,-1.63,1.24,1.59,JOG
-9.17,8.3,-5.01,-1.6,0.94,0.83,JOG
-11.19,6,-4.57,-1.15,1.2,1.03,JOG
-12.52,7.67,-5.81,-1.46,0.38,1.69,JOG
-16.5,7.88,-5.69,-1.58,1,2.12,JOG
-12.75,4.98,-3.9,-1.25,0.35,1.77,JOG
-4.73,2.01,0.69,-0.61,1.14,0.27,JOG
-5.71,-1.89,-0.54,0.25,-0.52,-0.61,JOG
-2.68,-3.42,0.81,-0.6,-0.53,0.06,JOG
-0.44,-2.32,2.21,-0.26,-1.4,-0.17,JOG
-6.13,2.98,2.48,0.83,-0.47,-0.78,JOG
-16.86,9.59,-3.38,1.51,-0.95,-2.09,JOG
-16.41,10.71,-5.01,1.66,-0.82,-1.17,JOG
-9.57,8.69,-7.46,1.07,0.04,-0.44,JOG
-2.67,7.34,-3.83,-0.2,-0.56,0.31,JOG
-2.83,5.48,-2.54,-0.31,0.64,0.94,JOG
-4.23,5.47,-2.89,-0.5,1.04,1.82,JOG
-9.46,11.25,-6.74,-0.75,2.61,1.67,JOG
-17.31,9.66,-7.67,-1.77,-0.21,2.23,JOG
-9.72,5,0.16,-1.2,0.46,1,JOG
-3.09,-0.19,-0.86,-0.33,0.67,-0.35,JOG
